question,answer,category
Combien vaut 7 × 8?,56,Multiplications
Combien vaut 9 × 6?,54,Multiplications
Combien vaut 12 × 12?,144,Multiplications
Calcule 125 + 376,501,Opérations
Calcule 1000 - 457,543,Opérations
Calcule 48 ÷ 6,8,Divisions
Calcule 81 ÷ 9,9,Divisions
Complète la table: 7 × 9 = ?,63,Multiplications
Que représente le chiffre 5 dans 5 432?,5000,Numérations
Écris en chiffres: trois mille quatre cent vingt et un,3421,Numérations
Quel est le double de 246?,492,Opérations
Quel est la moitié de 784?,392,Opérations
Calcule 3/4 de 20,15,Fractions
Calcule 1/3 de 27,9,Fractions
Calcule 2/5 de 50,20,Fractions
Transforme 250 centilitres en litres,2.5,Mesures
Combien y a t il de mètres dans 3.5 kilomètres?,3500,Unités
Transforme 3 500 mètres en kilomètres,3.5,Unités
Convertis 2.5 kg en grammes,2500,Unités
Combien de grammes dans 1.2 kilogramme?,1200,Unités
Calcule 4.25 + 3.75,8.0,Décimaux
Soustrais 5.6 - 2.15,3.45,Décimaux
Écris en décimal: 3 dixièmes et 4 centièmes,0.34,Décimaux
Quel est le périmètre d un rectangle 8 cm × 5 cm?,26 cm,Géométrie
Quelle est l aire d un rectangle 8 cm × 5 cm?,40 cm²,Géométrie
Quel est le périmètre d un carré de côté 7 cm?,28 cm,Géométrie
Combien de faces a un cube?,6,Géométrie
Combien d arêtes a un cube?,12,Géométrie
Combien de sommets a un cube?,8,Géométrie
Convertis 120 minutes en heures,2 heures,Horloge
Quelle heure est-il si il est 90 minutes après 14h30?,16:00,Horloge
Si il est 7h45 et on ajoute 1h20 quelle heure?,9:05,Horloge
Résous problème: Paul a 24 billes il donne 7 à Julie combien lui reste t il?,17,Problèmes
Résous problème: Une classe a 28 élèves on forme des groupes de 4 combien de groupes?,7,Problèmes
Quel est le multiple de 3 le plus proche de 50?,48,Numérations
Donne le plus grand nombre premier inférieur à 20,19,Numérations
Calcule le PGCD de 12 et 18,6,Numérations
Calcule le PPCM de 4 et 6,12,Numérations
Si un angle droit mesure ?,90°,Géométrie
Un triangle qui a deux côtés égaux est appelé ?,isocèle,Géométrie
Combien mesure l angle plat ?,180°,Géométrie
Écris en lettres: 5070,cinq mille soixante-dix,Numérations
Calcule 15 × 14,210,Multiplications
Calcule 144 ÷ 12,12,Divisions
Divise 100 par 4,25,Divisions
Simplifie la fraction 8/12,2/3,Fractions
Écris 3/5 sous forme décimale,0.6,Décimaux
Quel est l ordre décroissant de ces nombres 45 67 12 89?,89 67 45 12,Numérations
Arrondis 3.678 au centième,3.68,Décimaux
Arrondis 7.241 au dixième,7.2,Décimaux
Un verre contient 250 ml combien de verres pour 1 litre?,4,Unités
Convertis 5 litres en millilitres,5000,Unités
Calcule 25% de 200,50,Problèmes
Un rectangle a longueur 12 cm largeur 3 cm calcule l aire,36 cm²,Géométrie
Quelle est la diagonale d un carré de côté 10 si on arrondit à l unité?,14, GÉOMÉTRIE
Résous problème: Jean achète 3 cahiers à 2 euros et un stylo à 1 euro quel est le total?,7 euros,Problèmes
Si un paquet coûte 4 euros 20 centimes combien coûtent 3 paquets?,12.6 euros,Problèmes
Combien de jours dans 3 semaines?,21,Numérations
Combien de mois font 90 jours approximativement?,3,Horloge
Calcule 7 × 25,175,Multiplications
Calcule 56 ÷ 7,8,Divisions
Complète: 1 000 + 7 000 = ?,8000,Numérations
Écris 0.75 en fraction,3/4,Fractions
Que vaut 5 puissance 2?,25,Numérations
Quel est le triple de 123?,369,Opérations
Transforme 4500 g en kg,4.5,Unités
Si on a 3 paquets de 250 g quel est le poids total en grammes?,750,Unités
Angle aigu a une mesure inférieure à ?,90°,Géométrie
Écris en chiffres: deux millions cent mille,2100000,GrandsNombres
Un triangle équilatéral a combien de côtés égaux?,3,Géométrie
Calcule la somme des chiffres de 4 395,4+3+9+5=21,Numérations
Résous: 200 - (30 + 45),125,Opérations
Si une règle mesure 30 cm combien de règles pour 1.2 m?,4,Unités
